"CountyName","GEOID","COUNTYNS","WHP_Score","County","State","DroughtRisk_Score"
"Wilbarger","48487","01384029",24.4,"Wilbarger County","TX",0.11407976519337
"Grand","49019","01448024",25.9,"Grand County","UT",0.175518250791565
"Hillsborough","12057","00295757",24.8,"Hillsborough County","FL",0.226043811031935
"San Juan","08111","00198171",22.2,"San Juan County","CO",0.233936410802182
"Pinal","04021","00025447",35.4,"Pinal County","AZ",0.259881906368621
"Mineral","32021","00858644",20.5,"Mineral County","NV",0
"Union","13291","00353193",32.7,"Union County","GA",0.297112230751023
"Emmons","38029","01035615",19.2,"Emmons County","ND",0
"Maricopa","04013","00037026",23.6,"Maricopa County","AZ",0.256780897634314
"Johnson","48251","01383911",31.4,"Johnson County","TX",0
"Linn","41043","01135857",35.5,"Linn County","OR",0.162230488392919
"Knox","48275","01383923",20.6,"Knox County","TX",0
"Monroe","12087","00295759",13.1,"Monroe County","FL",0
"Orange","37135","01008576",29.1,"Orange County","NC",0.1
"Crawford","05033","00069161",34.4,"Crawford County","AR",0
"Bell","21013","00516853",31,"Bell County","KY",0.2
"Osage","40113","01101844",36.5,"Osage County","OK",0.134615384615385
"Coke","48081","01383826",42.3,"Coke County","TX",0
"St. Louis","27137","00662850",30.2,"Saint Louis County","MN",0.1
"Essex","34013","00882276",16.4,"Essex County","NJ",0
"Fairfield","45039","01248000",43.4,"Fairfield County","SC",0.100757277734068
"Carbon","49007","01448018",26.4,"Carbon County","UT",0.07765
"Buncombe","37021","01008538",32.6,"Buncombe County","NC",0.199944969733353
"Haskell","40061","01101818",39.5,"Haskell County","OK",0
"Surry","37171","01008587",27,"Surry County","NC",0.15227860255558
"Orange","48361","01383966",25.9,"Orange County","TX",0.352133580705009
"Miller","05091","00069166",32.4,"Miller County","AR",0.05129
"Clark","16033","00399755",27.8,"Clark County","ID",0.09672
"Alfalfa","40003","01101789",13.1,"Alfalfa County","OK",0
"Perry","21193","00516943",34.6,"Perry County","KY",0.2
"Union","34039","00882235",12.9,"Union County","NJ",0
"Nye","32023","00863599",20.6,"Nye County","NV",0
"Greene","36039","00974118",32.5,"Greene County","NY",0
"Hot Spring","05059","00066859",37.3,"Hot Spring County","AR",0.113531611444473
"Cascade","30013","01719622",18.6,"Cascade County","MT",0.01789
"Garfield","49017","01448023",22.2,"Garfield County","UT",0.0174
"Sullivan","36105","00974150",33.3,"Sullivan County","NY",0
"Beckham","40009","01101792",31.9,"Beckham County","OK",0.147521262738488
"Leslie","21131","00516912",36,"Leslie County","KY",0.2
"Rice","20159","00485043",13.3,"Rice County","KS",0.392622950819672
"Mohave","04015","00025445",26.9,"Mohave County","AZ",0.130126248040267
"Lea","35025","01702365",25.8,"Lea County","NM",0.293979619724359
"Edwards","20047","00484993",11.7,"Edwards County","KS",0.199969990997299
"Dickens","48125","01383848",39.6,"Dickens County","TX",0
"Tom Green","48451","01384011",32.4,"Tom Green County","TX",0.00054
"Treasure","30103","01719563",35.8,"Treasure County","MT",0
"Sierra","35051","01702370",18.8,"Sierra County","NM",0.319699562654497
"Churchill","32001","00858638",19.6,"Churchill County","NV",0
"Terrell","13273","00352238",27.7,"Terrell County","GA",0.05923
"Schleicher","48413","01383992",34.8,"Schleicher County","TX",0
"Sweet Grass","30097","01719569",22,"Sweet Grass County","MT",0.06953
"Duchesne","49013","01448021",27.2,"Duchesne County","UT",0.02195
"Multnomah","41051","01135861",25.4,"Multnomah County","OR",0.0622
"Jefferson","31095","00835869",12.8,"Jefferson County","NE",0.305444860919313
"Knott","21119","00516906",35.6,"Knott County","KY",0.192415277030662
"Davis","49011","01448020",14.4,"Davis County","UT",0
"Marin","06041","00277285",25.7,"Marin County","CA",0
"Oscoda","26135","01623010",32,"Oscoda County","MI",0.08179
"Huerfano","08055","00198143",24.2,"Huerfano County","CO",0.09705052577584
"Titus","48449","01384010",39.3,"Titus County","TX",0
"Logan","54045","01550029",32.1,"Logan County","WV",0.00954
"Swisher","48437","01384004",22.3,"Swisher County","TX",0.0954232960125712
"Richmond","36085","00974141",9.6,"Richmond County","NY",0
"Jackson","46071","01265794",24.3,"Jackson County","SD",0.01083
"Jefferson","12065","00295733",35.1,"Jefferson County","FL",0
"Oconee","45073","01244832",26.1,"Oconee County","SC",0.237256962690489
"Mellette","46095","01267177",33.6,"Mellette County","SD",0
"Marshall","28093","00695770",28.8,"Marshall County","MS",0.477978941149163
"Potter","46107","01265761",15.1,"Potter County","SD",0
"Johnson","56019","01609191",29.5,"Johnson County","WY",0.02892
"Columbia","36021","00974109",31.4,"Columbia County","NY",0
"Conecuh","01035","00161543",43.4,"Conecuh County","AL",0.129118250170882
"Somervell","48425","01383998",36,"Somervell County","TX",0
"Rolette","38079","01034228",26.1,"Rolette County","ND",0.2
"Henderson","37089","01008562",28.5,"Henderson County","NC",0.2
"Orleans","22071","00558113",9.7,"Orleans Parish","LA",0.264687426464821
"Bronx","36005","00974101",8.3,"Bronx County","NY",0
"Bethel","02050","01419966",22.4,"Bethel Census Area","AK",0
"Lincoln","56023","01605076",22.1,"Lincoln County","WY",0.00684
"Suffolk","36103","00974149",9.9,"Suffolk County","NY",0.02219
"Sevier","05133","00069182",32.6,"Sevier County","AR",0
"Erath","48143","01383857",42.3,"Erath County","TX",0.0150024987506247
"Broomfield","08014","01945881",20.4,"Broomfield County","CO",0
"Walworth","46129","01266973",16.2,"Walworth County","SD",0
"Coos","41011","01135848",29.5,"Coos County","OR",0.02081
"Clay","21051","00516872",35.5,"Clay County","KY",0.227928173037682
"Swain","37173","01008588",19.5,"Swain County","NC",0.266081871345029
"Harmon","40057","01101816",21.4,"Harmon County","OK",0.281905419650322
"Pierce","31139","00835891",9.8,"Pierce County","NE",0.00419
"Henderson","48213","01383892",30.5,"Henderson County","TX",0.02307
"Erie","36029","00974113",22.4,"Erie County","NY",0.0114541832669323
"Whitley","21235","00516964",27,"Whitley County","KY",0.230009449669262
"Pittsburg","40121","01101848",30.9,"Pittsburg County","OK",0.0575813681543559
"Somerset","24039","00596907",14,"Somerset County","MD",0.04871
"Carbon","30009","01720111",26.1,"Carbon County","MT",0.04824
"St. Lucie","12111","00308372",25.2,"Saint Lucie County","FL",0
"Yancey","37199","01008598",28,"Yancey County","NC",0.192189100318042
"Wayne","37191","01026128",23.5,"Wayne County","NC",0
"Hyde","46069","01266984",19.6,"Hyde County","SD",0
"Grant","53025","01531924",22.4,"Grant County","WA",0.00014
"Letcher","21133","00516913",30.8,"Letcher County","KY",0.181586737714624
"Gunnison","08051","00198141",22.1,"Gunnison County","CO",0.156818333667402
"Petroleum","30069","01719590",33.9,"Petroleum County","MT",5e-05
"Elmore","01051","00161551",35.7,"Elmore County","AL",0.127794041673842
"Sublette","56035","01605082",21.3,"Sublette County","WY",0.0401
"Clay","37043","01008546",23.4,"Clay County","NC",0.3
"Madison","30057","01720033",21.5,"Madison County","MT",0.10959634424981
"Monroe","47123","01639776",24,"Monroe County","TN",0.279436091607543
"Madison","37115","01025834",24.8,"Madison County","NC",0.138409953946837
"Custer","16037","00399758",22,"Custer County","ID",0.09356
"Lynn","48305","01383938",10.9,"Lynn County","TX",0
"Martin","21159","00516923",34.6,"Martin County","KY",0.214492334393983
"Marshall","27089","00659489",13.6,"Marshall County","MN",0.195088195386703
"Dorchester","24019","00596495",13.4,"Dorchester County","MD",0.02283
"Pima","04019","00025446",24.7,"Pima County","AZ",0.243243523854021
"Lake of the Woods","27077","00659483",16.1,"Lake of the Woods County","MN",0.213165694617076
"Duplin","37061","01026132",27.6,"Duplin County","NC",0.00062
"Stewart","13259","00347360",43.4,"Stewart County","GA",0.1
"Delaware","40041","01101808",36.8,"Delaware County","OK",0.00039
"Anoka","27003","00659447",20.3,"Anoka County","MN",0.174284995914262
"Routt","08107","00198169",22.7,"Routt County","CO",0.03143
"Whatcom","53073","01529224",20.4,"Whatcom County","WA",0.199849774661993
"Stanton","31167","00835905",10.7,"Stanton County","NE",0.27770911662882
"Monroe","36055","00974126",12.1,"Monroe County","NY",0.192883935852134
"Okaloosa","12091","00306915",33.4,"Okaloosa County","FL",0.00621
"Abbeville","45001","01245666",36.1,"Abbeville County","SC",0.255241902586277
"Fall River","46047","01265787",36.6,"Fall River County","SD",0
"Grant","05053","00066856",36.9,"Grant County","AR",0.222889218778994
"Harper","20077","00485004",12.8,"Harper County","KS",0.00896
"Washington","20201","00485061",13,"Washington County","KS",0.235933297471759
"Mahnomen","27087","00659488",19.7,"Mahnomen County","MN",0.1
"Ellsworth","20053","00484996",17.1,"Ellsworth County","KS",0.319651347068146
"Pierce","53053","01529159",25.9,"Pierce County","WA",0.136063664596273
"Etowah","01055","00161553",26.7,"Etowah County","AL",0.4
"Mingo","54059","01550036",31.5,"Mingo County","WV",0.0719841966637401
"Clayton","13063","01672399",19.2,"Clayton County","GA",0.2
"Clark","32003","00863600",23,"Clark County","NV",0.0999420241841975
"Lewis","53041","01531927",31.1,"Lewis County","WA",0.04068
"Taliaferro","13265","00347654",43.2,"Taliaferro County","GA",0.112136013526207
"Crosby","48107","01383839",20.8,"Crosby County","TX",0
"Sutton","48435","01384003",31.4,"Sutton County","TX",0.00196
"Lawrence","46081","01266996",42.9,"Lawrence County","SD",0.1
"Lee","21129","00516911",26.1,"Lee County","KY",0.2
"Marion","41047","01135859",26.7,"Marion County","OR",0.125874978234372
"Greer","40055","01101815",25.5,"Greer County","OK",0.251278432674747
"Owsley","21189","00516941",33.2,"Owsley County","KY",0.24280937888465
"Franklin","48159","01383865",31.3,"Franklin County","TX",0
"Atoka","40005","01101790",25.1,"Atoka County","OK",0.239588514582862
"Cibola","35006","00933051",25.9,"Cibola County","NM",0.286549771689498
"Solano","06095","00277312",24.5,"Solano County","CA",0
"Socorro","35053","01702371",20.8,"Socorro County","NM",0.21481634337598
"Scott","28123","00695782",37.9,"Scott County","MS",0.489827727645611
"Naugatuck Valley","09140","02830249",26.7,"Naugatuck Valley Planning Region","CT",0
"Haywood","37087","01008561",23.3,"Haywood County","NC",0.184984760480764
"Campbell","46021","01266974",18.4,"Campbell County","SD",0
"Isanti","27059","00659475",22.5,"Isanti County","MN",0.2
"Bay","12005","00295738",28.6,"Bay County","FL",0
"Wadena","27159","00659524",26.8,"Wadena County","MN",0.223515350363253
"Pike","21195","00516944",28.6,"Pike County","KY",0.0537822964275721
"Breathitt","21025","00516859",33.1,"Breathitt County","KY",0.255799755799756
"Towns","13281","00351252",20.8,"Towns County","GA",0.286871270247229
"Tallapoosa","01123","00161587",35.8,"Tallapoosa County","AL",0.196152448206034
"Deaf Smith","48117","01383845",25.2,"Deaf Smith County","TX",0.237268467837282
"Okfuskee","40107","01101841",31.8,"Okfuskee County","OK",0.00771
"Palo Pinto","48363","01383967",39.1,"Palo Pinto County","TX",0.01649
"Magoffin","21153","00516920",30.6,"Magoffin County","KY",0.283393501805054
"Wake","37183","01008592",24.5,"Wake County","NC",0.00462
"Teton","30099","01720018",13.9,"Teton County","MT",0.0656069620815203
"Woodward","40153","01101864",33.3,"Woodward County","OK",0.0107
"San Juan","49037","01448032",20.6,"San Juan County","UT",0.162214046822742
"Stephens","48429","01384000",38.3,"Stephens County","TX",0
"Marshall","20117","00485023",12,"Marshall County","KS",0.204302400078853
"Grand","08049","00198140",20.9,"Grand County","CO",0.09547
"Copper River","02066","02804401",18.5,"Copper River Census Area","AK",0
"Lancaster","31109","00835876",9.1,"Lancaster County","NE",0.287191290369721
"Fremont","56013","01605072",21.2,"Fremont County","WY",0.00574
"Musselshell","30065","01719593",29.9,"Musselshell County","MT",0
"Union","28145","00695793",28.6,"Union County","MS",0.5
"Nolan","48353","01383962",35.1,"Nolan County","TX",0
"Walton","13297","00351264",29.3,"Walton County","GA",0.2
"Hughes","40063","01101819",26.6,"Hughes County","OK",0.114019851116625
"Big Horn","56003","01605067",17.5,"Big Horn County","WY",0.01941
"Pueblo","08101","00198166",27.5,"Pueblo County","CO",0.01883
"Camden","37029","01026335",19.1,"Camden County","NC",0.01606
"Costilla","08023","00198127",16.2,"Costilla County","CO",0.320609550282935
"Becker","27005","00659448",21.3,"Becker County","MN",0.1
"St. Bernard","22087","01629542",6.7,"Saint Bernard Parish","LA",0.285232158988257
"Blount","47009","01639726",18.7,"Blount County","TN",0.257025998218191
"Waushara","55137","01581128",24.3,"Waushara County","WI",0.215214912498141
"Muscogee","13215","00357428",29.5,"Muscogee County","GA",0.1
"Hidalgo","35023","00929106",20.4,"Hidalgo County","NM",0.439234207252454
"San Bernardino","06071","00277300",15.4,"San Bernardino County","CA",0.00698
"Snohomish","53061","01529222",23,"Snohomish County","WA",0.186708221024259
"Washington","37187","01026331",17.9,"Washington County","NC",0
"Hinsdale","08053","00198142",19.3,"Hinsdale County","CO",0.211135718068461
"Jones","48253","01383912",18.1,"Jones County","TX",0
"Childress","48075","01383823",25.2,"Childress County","TX",0.120824110335433
"Montague","48337","01383954",33.3,"Montague County","TX",0.249860974078393
"Johnston","37101","01026327",25.4,"Johnston County","NC",0
"Fisher","48151","01383861",23.2,"Fisher County","TX",0.00261
"Jackson","21109","00516901",29.9,"Jackson County","KY",0.204112831640201
"Fulton","13121","01694833",20.4,"Fulton County","GA",0.2
"Torrance","35057","00929112",23.7,"Torrance County","NM",0.293092851904878
"San Joaquin","06077","00277303",21.9,"San Joaquin County","CA",0
"Clarke","01025","00161538",39.4,"Clarke County","AL",0.193845471255625
"Oglethorpe","13221","00351262",37.2,"Oglethorpe County","GA",0.2
"Laurel","21125","00516909",28.5,"Laurel County","KY",0.264963961140708
"Kings","36047","00974122",3.5,"Kings County","NY",0
"Hughes","46065","01265774",15.3,"Hughes County","SD",0
"Crawford","26039","01622962",31,"Crawford County","MI",0.04268
"Walla Walla","53071","01531819",17.3,"Walla Walla County","WA",0.1
"Sevier","47155","01639789",19.5,"Sevier County","TN",0.220188406472975
"Currituck","37053","01026125",14,"Currituck County","NC",0.0270053737176356
"Val Verde","48465","01384018",30.1,"Val Verde County","TX",0.0752889802209093
"Glacier","30035","01719607",22,"Glacier County","MT",0.146719803801349
"Coffey","20031","00484985",17.5,"Coffey County","KS",0.148965413079595
"Saline","05125","00067102",32.6,"Saline County","AR",0.191956134190481
"McCormick","45065","01248012",40.6,"McCormick County","SC",0.171276801236237
"Conejos","08021","00198126",18.3,"Conejos County","CO",0.383034417179535
"Cedar","31027","00835835",7.7,"Cedar County","NE",0.00265
"Hockley","48219","01383895",13.6,"Hockley County","TX",0
"Knox","31107","00835875",16.5,"Knox County","NE",0
"Cameron","48061","01383816",10.3,"Cameron County","TX",0
"Johnson","21115","00516904",27.9,"Johnson County","KY",0.298332885184189
"Dakota","31043","00835843",6.2,"Dakota County","NE",0.125369944097336
"Mille Lacs","27095","00659493",25.5,"Mille Lacs County","MN",0.2
"Polk","05113","00069175",29.1,"Polk County","AR",0.00398
"Durham","37063","01008550",24.7,"Durham County","NC",0.098
"Angelina","48005","01383788",33.6,"Angelina County","TX",0.205372429400767
"Boone","54005","01550009",25.3,"Boone County","WV",0
"Benson","38005","01034216",12.6,"Benson County","ND",0.0796252927400468
"Calhoun","12013","00306919",36.6,"Calhoun County","FL",0
"Converse","56009","01605070",27.3,"Converse County","WY",0.00759
"Seminole","40133","01101854",27.4,"Seminole County","OK",0.121125886524823
"Chesapeake","51550","01498558",15,"Chesapeake City","VA",0
"Harlan","21095","00516894",23.9,"Harlan County","KY",0.2
"Avery","37011","01008536",20.9,"Avery County","NC",0.2
"Clarke","28023","00695736",40.9,"Clarke County","MS",0.3
"Thurston","31173","00835908",6.4,"Thurston County","NE",0.245967229772641
"Kiowa","40075","01101825",15.3,"Kiowa County","OK",0.199929950965676
"Madison","31119","00835880",6.2,"Madison County","NE",0.184243956586088
"Washington","05143","00069905",27.1,"Washington County","AR",0.01407
"Ontario","36069","00974133",21.6,"Ontario County","NY",0.098458337274189
"Nacogdoches","48347","01383959",34.7,"Nacogdoches County","TX",0.205029251265916
"Hudson","34017","00882278",4.5,"Hudson County","NJ",0
"Floyd","21071","00516882",32.1,"Floyd County","KY",0.214598914045692
"Sherman","31163","00835903",21.7,"Sherman County","NE",0.12768785142273
"Jackson","37099","01008566",20.3,"Jackson County","NC",0.20406905055487
"Wicomico","24045","01668606",16.2,"Wicomico County","MD",0
"Comanche","40031","01101803",30.3,"Comanche County","OK",0.174031618063866
"Custer","30017","01720109",33.1,"Custer County","MT",0
"Clay","20027","00484983",11.8,"Clay County","KS",0.290911625313633
"Burt","31021","00835832",4.9,"Burt County","NE",0.295647287217738
"Sherburne","27141","00659515",18.4,"Sherburne County","MN",0.155030443606843
"Haskell","48207","01383889",14.9,"Haskell County","TX",0
"Platte","56031","01605080",29.1,"Platte County","WY",0
"Dixon","31051","00835847",6.6,"Dixon County","NE",0.0869867605161723
"Rio Grande","08105","00198168",18,"Rio Grande County","CO",0.342175572519084
"Plymouth","19149","00465263",4.5,"Plymouth County","IA",0.06286
"King","53033","01531933",20.9,"King County","WA",0.171838040067584
"Brazoria","48039","01383805",14.6,"Brazoria County","TX",0.0249927933121937
"Red River","48387","01383979",29.5,"Red River County","TX",0.0276
"Dewey","40043","01101809",26.5,"Dewey County","OK",0.00113
"Saline","20169","00485047",14.3,"Saline County","KS",0.275868509525588
"Queens","36081","00974139",4.4,"Queens County","NY",0
"Kingman","20095","00485012",15.5,"Kingman County","KS",0.101209082866411
"Rabun","13241","00351489",18.4,"Rabun County","GA",0.210815500289185
"Stillwater","30095","01719572",17.4,"Stillwater County","MT",0.06567
"Seward","31159","00835901",6.4,"Seward County","NE",0.41504122409567
"New York","36061","00974129",3.7,"New York County","NY",0
"Choctaw","40023","01101799",24.9,"Choctaw County","OK",0.200616919693149
"Dickinson","20041","00484990",13.1,"Dickinson County","KS",0.206759200430087
"Jackson","12063","00295734",29.5,"Jackson County","FL",0
"Morrison","27097","00659494",23.6,"Morrison County","MN",0.2
"Quay","35037","00929110",23.8,"Quay County","NM",0.29792536710225
"McNairy","47109","01639774",26.7,"McNairy County","TN",0.4
"Nemaha","20131","00485029",10.1,"Nemaha County","KS",0.2
"Grant","40053","01101814",8.6,"Grant County","OK",0
"Brewster","48043","01383807",23.4,"Brewster County","TX",0.197069113851448
"Hamilton","48193","01383882",35.3,"Hamilton County","TX",0.189141400144116
"Skagit","53057","01531402",23.1,"Skagit County","WA",0.19828612114123
"Kanawha","54039","01550026",25.9,"Kanawha County","WV",0.02718
"Transylvania","37175","01008589",19.1,"Transylvania County","NC",0.2
"Virginia Beach","51810","01498559",7.2,"Virginia Beach City","VA",0
"Northwest Arctic","02188","01419979",18.5,"Northwest Arctic Borough","AK",0
"Saguache","08109","00198170",17.1,"Saguache County","CO",0.260241590336387
"Rich","49033","01448030",25,"Rich County","UT",0
"Lac qui Parle","27073","00659482",5.4,"Lac qui Parle County","MN",0.00736
"Bandera","48019","01383795",20,"Bandera County","TX",0.372504167691509
"Union","35059","00929115",33.9,"Union County","NM",0.130873908597499
"Sacramento","06067","00277298",22.7,"Sacramento County","CA",0
"McPherson","20113","00485021",9.3,"McPherson County","KS",0.261336515513126
"Pondera","30073","01719587",11.6,"Pondera County","MT",0.0756879105272501
"Beaufort","37013","01026333",25.8,"Beaufort County","NC",0
"Summit","08117","00198174",23.7,"Summit County","CO",0.06016
"Warren","47177","01639796",20.4,"Warren County","TN",0.4
"Marion","20115","00485022",13.6,"Marion County","KS",0.2
"Washakie","56043","01605085",23.6,"Washakie County","WY",0.03308
"Mayes","40097","01101833",30.2,"Mayes County","OK",0.02106
"Sully","46119","01266982",9.4,"Sully County","SD",0
"Coryell","48099","01383835",35,"Coryell County","TX",0.251976649353994
"Chaffee","08015","00198123",24.1,"Chaffee County","CO",0.0353144096195545
"East Feliciana","22037","00558542",32.1,"East Feliciana Parish","LA",0.350125371741792
"Calhoun","13037","00344074",24,"Calhoun County","GA",0
"Carbon","56007","01605069",15.2,"Carbon County","WY",0.140050358014006
"Jackson","01071","00161561",18.8,"Jackson County","AL",0.252872853082911
"Mineral","08079","00198155",21.8,"Mineral County","CO",0.265579214690369
"Rock","31149","00835896",16.4,"Rock County","NE",0
"Galveston","48167","01383869",7.3,"Galveston County","TX",0.102889416387002
"Pecos","48371","01383971",22.1,"Pecos County","TX",0.0591763405196241
"Gage","31067","00835855",6.4,"Gage County","NE",0.221737873898174
"Greenville","45045","01245489",22.2,"Greenville County","SC",0.239255138846639
"Lyman","46085","01265789",19.5,"Lyman County","SD",0
"Campbell","56005","01605068",32.8,"Campbell County","WY",0
"Morgan","13211","00346008",32.5,"Morgan County","GA",0.180909848755508
"Sioux","31165","00835904",26.4,"Sioux County","NE",0
"Wise","48497","01384034",31.4,"Wise County","TX",0.1
"Glasscock","48173","01383872",20.5,"Glasscock County","TX",0.114350691543674
"Major","40093","01101831",18.1,"Major County","OK",0
"Spartanburg","45083","01248592",25.9,"Spartanburg County","SC",0.234935500971903
"Cochran","48079","01383825",16.7,"Cochran County","TX",0.0417847304210941
"Little River","05081","00066874",29.4,"Little River County","AR",0
"Guilford","37081","01008558",19.4,"Guilford County","NC",0.1
"Montgomery","36057","00974127",27.1,"Montgomery County","NY",0
"Roberts","46109","01265786",8.7,"Roberts County","SD",0
"Macon","37113","01025833",19.2,"Macon County","NC",0.288925631464153
"Hardin","47071","01639751",24,"Hardin County","TN",0.4
"Rhea","47143","01639784",25.3,"Rhea County","TN",0.27741641337386
"Mitchell","37121","01008571",18.7,"Mitchell County","NC",0.2
"Bradley","47011","01639727",23.7,"Bradley County","TN",0.274791682306133
"Pawnee","40117","01101846",25.9,"Pawnee County","OK",0.00416
"Wayne","36117","00974156",9.8,"Wayne County","NY",0.05798
"Jackson","08057","00198144",15,"Jackson County","CO",0.143174155100761
"Wise","51195","01496656",21.7,"Wise County","VA",0.19080585280629
"St. John the Baptist","22095","01629472",8.2,"Saint John the Baptist Parish","LA",0.250062484378905
"Sutter","06101","00277315",20.8,"Sutter County","CA",0
"Washington","31177","00835910",6.2,"Washington County","NE",0.3
"Adams","53001","01531601",18.2,"Adams County","WA",0.03339
"Esmeralda","32009","00858641",11.3,"Esmeralda County","NV",0
"Yellowstone","30111","01719558",29.5,"Yellowstone County","MT",0.01537
"Lincoln","54043","01550028",26,"Lincoln County","WV",0.122670660570708
"Rockingham","37157","01008582",23.1,"Rockingham County","NC",0.103265787920519
"Franklin","53021","01531822",19.1,"Franklin County","WA",0.09756
"Butler","31023","00835833",5.4,"Butler County","NE",0.455282841402786
"Jackson","20085","00485007",20.8,"Jackson County","KS",0.277687205898699
"Cherry","31031","00835837",20.4,"Cherry County","NE",0
"Howard","48227","01383899",26,"Howard County","TX",0.1
"Wayne","54099","01550056",27.1,"Wayne County","WV",0.248142551315955
"Matanuska-Susitna","02170","01419976",17.6,"Matanuska-Susitna Borough","AK",0
"Kauai","15007","00365282",12.9,"Kauai County","HI",0
"Cuming","31039","00835841",4.4,"Cuming County","NE",0.298387096774194
"De Baca","35011","00933054",17.6,"DeBaca County","NM",0.253844233649526
"Hale","48189","01383880",9.2,"Hale County","TX",0.05267
"Todd","27153","00659521",13.1,"Todd County","MN",0.195772298389199
"Keya Paha","31103","00835873",22.3,"Keya Paha County","NE",0
"McLennan","48309","01383946",24.8,"McLennan County","TX",0.104597916862156
"Sargent","38081","01035303",8.1,"Sargent County","ND",0
"Lawrence","21127","00516910",20.6,"Lawrence County","KY",0.298590130916415
"Lincoln","40081","01101828",22.5,"Lincoln County","OK",0.0188
"Muskogee","40101","01101838",21.5,"Muskogee County","OK",0
"Scotts Bluff","31157","00835900",14.1,"Scotts Bluff County","NE",0
"Garfield","30033","01716058",23.5,"Garfield County","MT",0.00839
"Burleigh","38015","01035614",8.1,"Burleigh County","ND",0
"Wolfe","21237","00516965",23.6,"Wolfe County","KY",0.2
"Kings","06031","00277280",17.3,"Kings County","CA",0
"Otoe","31131","00835887",4.9,"Otoe County","NE",0.2
"Osage","20139","00485033",19.5,"Osage County","KS",0.0245
"Oldham","48359","01383965",28.4,"Oldham County","TX",0.214666159406506
"Sabine","48403","01383987",33.1,"Sabine County","TX",0.463089828731213
"Koochiching","27071","00659481",15.5,"Koochiching County","MN",0.186565869376627
"Denver","08031","00198131",10.9,"Denver County","CO",0
"Greenwood","45047","01248003",36.5,"Greenwood County","SC",0.17929993964997
"Chisago","27025","00659458",18.4,"Chisago County","MN",0.152103823116172
"Ogemaw","26129","01623007",20.9,"Ogemaw County","MI",0.1
"Watauga","37189","01008594",16.8,"Watauga County","NC",0.191886047894481
"Inyo","06027","01804637",11.3,"Inyo County","CA",0
"Parmer","48369","01383970",10.6,"Parmer County","TX",0.207729161574187
"Garfield","31071","00835857",16.4,"Garfield County","NE",0
"Winston","01133","00161592",28.9,"Winston County","AL",0.270317344868507
"Washington","36115","00974155",26.2,"Washington County","NY",0
"Real","48385","01383978",15.8,"Real County","TX",0.213028505835087
"Brown","46013","01265785",6.9,"Brown County","SD",0
"Box Butte","31013","00835991",15,"Box Butte County","NE",0
"Creek","40037","01101806",22,"Creek County","OK",0
"Pawnee","20145","00485036",6.4,"Pawnee County","KS",0.2
"Fayette","54019","01560095",23.5,"Fayette County","WV",0.00017
"Eddy","35015","00936829",22.5,"Eddy County","NM",0.474235367345625
"Kanabec","27065","00659478",30.4,"Kanabec County","MN",0.2
"Macon","01087","00161569",37.9,"Macon County","AL",0.1
"Ford","20057","00484997",7,"Ford County","KS",0.122871165644172
"Fergus","30027","01719614",19.8,"Fergus County","MT",0
"Cullman","01043","00161547",24.2,"Cullman County","AL",0.300279804137104
"Jones","46075","01266981",15.9,"Jones County","SD",0
"Antelope","31003","00835824",6.1,"Antelope County","NE",0
"Otter Tail","27111","00659501",7.6,"Otter Tail County","MN",0.0859212629896083
"Logan","31113","00835878",16.4,"Logan County","NE",0
"Merrick","31121","00835882",5.6,"Merrick County","NE",0.443367078772367
"Wyoming","54109","01550061",23,"Wyoming County","WV",0.0299
"Van Zandt","48467","01384019",28.7,"Van Zandt County","TX",1e-05
"Benton","27009","00659450",14.9,"Benton County","MN",0.2
"San Juan","35045","00936844",17.7,"San Juan County","NM",0.361706388379636
"Burnett","55013","01581066",28.5,"Burnett County","WI",0.149079384243888
"San Augustine","48405","01383988",34.5,"San Augustine County","TX",0.331133649599215
"Houston","01069","00161560",23.7,"Houston County","AL",0
"Ottawa","20143","00485035",13.6,"Ottawa County","KS",0.299149733873397
"Wilson","20205","00485063",11.1,"Wilson County","KS",0.186755240625923
"Matagorda","48321","01383943",8.7,"Matagorda County","TX",0.0597828087612737
"Albany","56001","01605066",20.1,"Albany County","WY",0.133025366723397
"Woodbury","19193","00465285",5.2,"Woodbury County","IA",0.143769733460607
"Genesee","36037","00974117",14.9,"Genesee County","NY",0.261546262118201
"Towner","38095","01034213",9.3,"Towner County","ND",0.256127301548592
"Niagara","36063","00974130",9.2,"Niagara County","NY",0.0079
"Wayne","49055","01448041",11.4,"Wayne County","UT",0.06158
"Montgomery","20125","00485027",10.9,"Montgomery County","KS",0.222288571031801
"Harvey","20079","00485005",6.8,"Harvey County","KS",0.207602915107347
"Texas","40139","01101857",27.3,"Texas County","OK",0.03407
"Yoakum","48501","01384036",15.5,"Yoakum County","TX",0.03362
"Richardson","31147","00835895",6.1,"Richardson County","NE",0.187608878898567
"Nicholas","54067","01550040",21.6,"Nicholas County","WV",0
"Valley","31175","00835909",22.1,"Valley County","NE",0.04158
"San Mateo","06081","00277305",18.4,"San Mateo County","CA",0
"Elbert","08039","00198136",20.1,"Elbert County","CO",0.03188
"Livingston","36051","00974124",18.5,"Livingston County","NY",0.260519312958632
"Lee","51105","01496538",27.1,"Lee County","VA",0.2
"Morrill","31123","00835883",16.1,"Morrill County","NE",0
"Pike","42103","01213683",34.1,"Pike County","PA",0
"Bibb","01007","00161529",39.9,"Bibb County","AL",0.30367263359535
